Knumber,log2FoldChange.minusSTvsAll
K04564,-0.565
K03739,0.41700000000000004
K00869,1.107
K14540,-0.105
K12574,-0.14800000000000002
K23269,1.421
K02341,0.19
K00943,0.319
K07668,0.12
K07586,0.095
K01933,1.472
K00133,0.67
K01591,1.9180000000000001
K00615,-0.204
K14188,0.54
K03501,0.215
K02036,-0.289
K00805,0.16899999999999998
K04077,-0.369
K00805,0.159
K01868,0.659
K00963,0.23
K00057,0.253
K04078,-0.311
K01866,0.43700000000000006
K02110,0.7240000000000001
K01443,-0.386
K02469,0.177
K00850,-0.042
K00873,-0.171
K00016,0.21600000000000003
K23536,0.331
K23535,0.375
K03657,0.337
K03316,0.083
K23537,0.512
K01118,0.89
K01924,0.177
K03402,-0.29100000000000004
K01887,0.284
K03151,0.54
K03043,0.414
K02470,-0.006999999999999999
K03046,0.262
K02029,-0.105
K02028,-0.183
K16511,-0.434
K09013,-0.221
K09015,-0.302
K04488,-0.33899999999999997
K09014,-0.321
K01937,0.207
K02435,0.268
K00761,0.47100000000000003
K02888,0.096
K02108,0.467
K07042,-0.042
K02433,0.467
K01426,-0.204
K02109,-0.061
K07177,-0.446
K00954,-0.45899999999999996
K02111,0.266
K01520,0.247
K03431,-0.10099999999999999
K18672,-0.038
K01878,0.171
K01879,0.065
K01956,1.3869999999999998
K00763,-0.07
K01810,0.096
K01916,-0.11900000000000001
K02003,-0.265
K00609,1.449
K06940,0.535
K02824,1.541
K02825,1.3940000000000001
K21903,-1.015
K02902,0.35700000000000004
K02884,0.64
K03106,0.38299999999999995
K00554,0.084
K01873,0.07200000000000001
K02036,-0.048
K02112,0.192
K08659,-0.228
K02114,0.045
K03698,0.10099999999999999
K07304,-0.7340000000000001
K02039,-0.098
K01783,-0.209
K01736,0.161
K00226,0.838
K10038,2.273
K10036,2.708
K10037,2.708
K03648,0.361
K01808,-2.072
K01783,-0.578
K02529,-0.7240000000000001
K00001,-0.04
K09710,0.306
K07574,-0.14800000000000002
K03665,0.13
K00088,0.884
K01990,0.34700000000000003
K01790,0.08
K07030,0.32299999999999995
K07305,0.43799999999999994
K04758,-0.026000000000000002
K04759,-0.083
K02548,0.165
K00805,-0.33899999999999997
K06941,-0.20199999999999999
K15770,0.446
K15771,-0.092
K15772,0.551
K02004,-0.7090000000000001
K01081,-0.787
K02777,-0.172
K08152,0.008
K09963,-0.361
K19225,-0.192
K01934,-0.153
K03704,0.35600000000000004
K02434,0.461
K03706,-0.033
K15051,-0.11
K06929,-0.5429999999999999
K07104,-1.264
K21739,0.21600000000000003
K00773,1.431
K07386,-0.113
K03546,-0.733
K03574,0.39299999999999996
K01154,0.163
K16210,-0.635
K02822,-1.473
K03492,-1.252
K01223,-0.19
K10119,-0.985
K10118,-1.8090000000000002
K02027,-0.835
K10241,-3.017
K15531,-1.401
K22278,-1.4569999999999999
K01235,0.0
K22103,0.125
K10117,-1.81
K02440,-0.932
K02864,0.7090000000000001
K21900,0.027999999999999997
K20265,-1.2309999999999999
K03322,-0.05
K03630,-0.009000000000000001
K00675,-0.5
K01537,-1.215
K01537,-0.589
K03342,0.051
K03777,-0.28
K09692,0.494
K03741,-0.746
K20486,-0.21
K18136,-0.892
K01897,-0.997
K07031,-1.186
K03271,-1.893
K03273,-0.054000000000000006
K04485,0.15
K01507,-0.835
K00986,-0.581
K21745,-0.785
K02483,-0.5770000000000001
K07052,-0.7
K02970,0.04
K07272,-0.349
K01854,-0.43799999999999994
K08151,0.665
K19577,-0.397
K06147,-1.24
K19591,-1.416
K05363,-1.2
K02952,0.332
K02518,0.5539999999999999
