OG	sample_6C
OG1382	14.0
OG1383	742.0
OG1384	1135.0
OG1385	7398.0
OG1386	42859.0
OG1387	3257.0
OG1388	2235.0
OG1389	1662.0
OG1390	11633.0
OG1391	140.0
OG1392	275.0
OG1393	3108.0
OG1394	7378.0
OG1395	11309.0
OG1396	1356.0
OG1397	1879.0
OG1398	7287.0
OG1399	2865.0
OG1400	1707.0
OG1401	7453.0
OG1402	531.0
OG1403	5283.0
OG1404	11173.0
OG1405	29530.0
OG1406	10807.0
OG1407	16851.0
OG1408	14329.0
OG1409	11555.0
OG1410	1548.0
OG1411	6241.0
OG1412	3201.0
OG1413	826.0
OG1414	7692.0
OG1415	574.0
OG1416	4824.0
OG1417	8384.0
OG1418	3765.0
OG1419	232.0
OG1420	10646.0
OG1421	3505.0
OG1422	248.0
OG1423	6666.0
OG1424	7999.0
OG1425	22099.0
OG1426	9837.0
OG1427	3781.0
OG1428	7373.0
OG1429	1373.0
OG1430	2672.0
OG1431	4229.0
OG1432	1187.0
OG1433	2526.0
OG1434	730.0
OG1435	734.0
OG1436	977.0
OG1437	9173.0
OG1438	40.0
OG1439	580.0
OG1440	4259.0
OG1441	33528.0
OG1442	11931.0
OG1443	36.0
OG1444	3543.0
OG1445	2822.0
OG1446	1848.0
OG1447	5525.0
OG1448	68.0
OG1449	574.0
OG1450	76.0
OG1451	4707.0
OG1452	1416.0
OG1453	1233.0
OG1454	1201.0
OG1455	1329.0
OG1456	540.0
OG1457	675.0
OG1458	6105.0
OG1459	798.0
OG1460	4089.0
OG1461	1559.0
OG1462	4049.0
OG1463	5040.0
OG1464	543.0
OG1465	18769.0
OG1466	8289.0
OG1467	1230.0
OG1468	1414.0
OG1469	1185.0
OG1470	25630.0
OG1471	2145.0
OG1472	131.0
OG1473	425.0
OG1474	727.0
OG1475	2029.0
OG1476	32311.0
OG1477	1305.0
OG1478	1349.0
OG1479	11228.0
OG1480	1697.0
OG1481	1500.0
OG1482	2150.0
OG1483	1033.0
OG1484	3265.0
OG1485	1643.0
OG1486	9300.0
OG1487	5253.0
OG1488	8682.0
OG1489	9732.0
OG1490	15212.0
OG1491	999.0
OG1492	23733.0
OG1493	1395.0
OG1494	6985.0
OG1495	19.0
OG1496	135.0
OG1497	5692.0
OG1498	2039.0
OG1499	495.0
OG1500	5199.0
OG1501	27.0
OG1502	1092.0
OG1503	24994.0
OG1504	1905.0
OG1505	3819.0
OG1506	1925.0
OG1507	107661.0
OG1508	2966.0
OG1509	6701.0
OG1510	120.0
OG1511	955.0
OG1512	106.0
OG1513	655.0
OG1514	1017.0
OG1515	1618.0
OG1516	2253.0
OG1517	959.0
OG1518	7082.0
OG1519	2188.0
OG1520	3001.0
OG1521	7092.0
OG1522	4224.0
OG1523	9206.0
OG1524	6230.0
OG1525	2635.0
OG1526	475.0
OG1527	394.0
OG1528	6746.0
OG1529	3247.0
OG1530	6160.0
OG1531	2657.0
OG1532	9942.0
OG1533	1925.0
OG1534	3702.0
OG1535	383.0
OG1536	6855.0
OG1537	4618.0
OG1538	1604.0
OG1539	3033.0
OG1540	9871.0
OG1541	1130.0
OG1542	997.0
OG1543	986.0
OG1544	739.0
OG1545	3277.0
OG1546	1930.0
OG1547	250.0
OG1548	744.0
OG1549	680.0
OG1550	16565.0
OG1551	8047.0
OG1552	8733.0
OG1553	11.0
OG1554	2427.0
OG1555	23468.0
OG1556	453.0
OG1557	16778.0
OG1558	891.0
OG1559	683.0
OG1560	587.0
OG1561	3500.0
OG1562	3207.0
OG1563	27603.0
OG1564	1771.0
OG1565	2647.0
OG1566	864.0
OG1567	3049.0
OG1568	14972.0
OG1569	7511.0
OG1570	37.0
OG1571	38.0
OG1572	2040.0
OG1573	2112.0
OG1574	2574.0
OG1575	357.0
OG1576	1735.0
OG1577	735.0
OG1578	326.0
OG1579	317.0
OG1580	484.0
OG1581	9687.0
OG1582	4228.0
OG1583	8028.0
OG1584	114.0
OG1585	6574.0
OG1586	4448.0
OG1587	669.0
OG1588	1495.0
OG1589	107.0
OG1590	1085.0
