Id,log2FoldChange.minusSICOvsAll
OG1906,0.0
OG1907,0.0
OG1908,-1.127
OG1909,0.145
OG191,-0.41600000000000004
OG1910,0.0
OG1911,-0.136
OG1912,
OG1913,-0.501
OG1914,-0.17300000000000001
OG1915,-0.8340000000000001
OG1916,-0.634
OG1917,-5.909
OG1918,-4.819
OG1919,-0.13
OG192,0.213
OG1920,-1.4669999999999999
OG1921,-0.115
OG1922,-0.627
OG1923,0.053
OG1924,-0.061
OG1925,-0.489
OG1926,-2.037
OG1927,-3.303
OG1928,-2.029
OG1929,-0.113
OG193,0.0
OG1930,0.0
OG1931,-1.5719999999999998
OG1932,-1.631
OG1933,-1.3359999999999999
OG1934,0.662
OG1935,-0.743
OG1936,0.149
OG1937,-1.922
OG1938,-0.13
OG1939,-1.6840000000000002
OG194,-0.172
OG1940,-0.152
OG1941,0.375
OG1942,
OG1943,0.0
OG1944,
OG1945,-1.127
OG1946,-3.6319999999999997
OG1947,
OG1948,
OG1949,
OG195,-0.589
OG1950,
OG1951,
OG1952,0.0
OG1953,
OG1954,-2.662
OG1955,-1.249
OG1956,-1.465
OG1957,0.513
OG1958,-0.5820000000000001
OG1959,0.797
OG196,0.32299999999999995
OG1960,0.419
OG1961,-2.6439999999999997
OG1962,0.201
OG1963,-1.127
OG1964,-0.37
OG1965,
OG1966,-7.162999999999999
OG1967,0.0
OG1968,0.0
OG1969,-1.127
OG197,-0.77
OG1970,-0.8959999999999999
OG1971,-3.0580000000000003
OG1972,-2.552
OG1973,0.997
OG1974,-3.9160000000000004
OG1975,-0.079
OG1976,0.8220000000000001
OG1977,0.0
OG1978,0.073
OG1979,1.207
OG198,
OG1980,-0.41200000000000003
OG1981,0.883
OG1982,1.13
OG1983,0.313
OG1984,-8.362
OG1985,0.579
OG1986,0.6629999999999999
OG1987,
OG1988,0.331
OG1989,0.115
OG199,0.42200000000000004
OG1990,-2.074
OG1991,-0.304
OG1992,
OG1993,
OG1994,-2.891
OG1995,0.0
OG1996,
OG1997,
OG1998,-1.8430000000000002
OG1999,-1.045
OG2,0.65
OG20,0.0
OG200,-0.429
OG2000,-0.226
OG2001,-0.6779999999999999
OG2002,0.436
OG2003,0.0
OG2004,0.0
OG2005,0.0
OG2006,0.797
